,index,Parent,Agency No.,Name,Contact,Operating Hours,Address,Zip Code,Unnamed: 7,Status,Latitude,Longitude,Filter_1,Filter_2,Requirements/Comments,Services Offered,Parent Agency No.,Input,Model_Output,day,hour,window
96,33,C1035,C1035FP,Covenant Life Fellowship Church,(919) 810-4261,"4th Saturdays, 10 - 12","4720 Forestville Rd.Raleigh, N.C. 27616",27616,Wake,Confirmed,35.8521853,-78.5142616,Food Distribution,Food Pantries,"Closed on tuesdays prior to 4th Saturday, closed 3rd Sundays, Tuesdays and Sudays - indoor email for appointment, Saturday - Outdoor, no appointment needed",,C1035,"4th Saturdays, 10 - 12","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Saturday,10,10:00–11:59
98,34,C1036,C1036FP,Universal Outreach,919-327-7702,"Every other Saturday, 9:30am-12pm","4913 Universal Dr, Wake Forest, NC 27587",27587,Wake,Confirmed,35.8884739,-78.48082409999999,Food Distribution,Food Pantries,,,C1036,"Every other Saturday, 9:30am-12pm","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            """"
        ]
    }
]",Saturday,9,08:00–09:59
101,35,C1037,C1037FP,O'Neal Revival Tabernacle,919-375-4275,2nd Saturday of month 9-11am,"500 Richardson Rd Zebulon, NC 27597",27597,Wake,Confirmed,35.7431218,-78.279414,Food Distribution,Food Pantries,,,C1037,2nd Saturday of month 9-11am,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""2""
        ]
    }
]",Saturday,9,08:00–09:59
103,36,C1038,C1038FP,Burning Bush Ministries Food Pantry,"919-662-4004, 919-231-7998, 919-649-4203",Tuesday and Thursday 10am-2pm by appointment only,503 US Hwy 70 E Garner 27529,27529,Wake,Confirmed,35.6997752,-78.59336309999999,Food Distribution,Food Pantries,,,C1038,Tuesday and Thursday 10am-2pm by appointment only,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,10,10:00–11:59
107,36,C1038,C1038FP,Burning Bush Ministries Food Pantry,"919-662-4004, 919-231-7998, 919-649-4203",Tuesday and Thursday 10am-2pm by appointment only,503 US Hwy 70 E Garner 27529,27529,Wake,Confirmed,35.6997752,-78.59336309999999,Food Distribution,Food Pantries,,,C1038,Tuesday and Thursday 10am-2pm by appointment only,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,10,10:00–11:59
111,37,C1039,C1039FP,Kipling UMC ,919-552-2124,Thursday 4:30 - 5:30pm,"55 Kipling Church Rd Fuquay Varina, NC 27526",27526,Wake,Confirmed,35.4798567,-78.8195016,Food Distribution,Food Pantries,,,C1039,Thursday 4:30 - 5:30pm,"[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""04:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,16,16:00–17:59
113,38,C1040,C1040FP,Garner Area Ministries,919-772-9100,"Monday, Wednesday, Friday, 9-12",558 Village Court Garner NC 27529,27529,Wake,Confirmed,35.7082377,-78.6193479,Food Distribution,Food Pantries,,,C1040,"Monday, Wednesday, Friday, 9-12","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,9,08:00–09:59
116,38,C1040,C1040FP,Garner Area Ministries,919-772-9100,"Monday, Wednesday, Friday, 9-12",558 Village Court Garner NC 27529,27529,Wake,Confirmed,35.7082377,-78.6193479,Food Distribution,Food Pantries,,,C1040,"Monday, Wednesday, Friday, 9-12","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,9,08:00–09:59
119,38,C1040,C1040FP,Garner Area Ministries,919-772-9100,"Monday, Wednesday, Friday, 9-12",558 Village Court Garner NC 27529,27529,Wake,Confirmed,35.7082377,-78.6193479,Food Distribution,Food Pantries,,,C1040,"Monday, Wednesday, Friday, 9-12","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,9,08:00–09:59
122,40,C1042,C1042FP,Riley Hill Family Life Center ,919-365-5277,1st and 3rd Tuesday of month 11:30am-12:30pm,"6109 Riley Hill Rd. Wendell, NC 27591",27591,Wake,Confirmed,35.8561989,-78.40981060000001,Food Distribution,Food Pantries,,,C1042,1st and 3rd Tuesday of month 11:30am-12:30pm,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""11:30 am"",
        ""Closing_Hour"": ""12:30 pm"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    }
]",Tuesday,11,10:00–11:59
124,41,C1043,C1043FP,Brooks Avenue Church of Christ,919-821-2400,2nd and 4th Saturday of month  9am-12pm,700 Brooks Ave Raleigh 27607,27607,Wake,Confirmed,35.7970322,-78.67213640000001,Food Distribution,Food Pantries,,,C1043,2nd and 4th Saturday of month  9am-12pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    }
]",Saturday,9,08:00–09:59
127,42,C1044,C1044FP,Focus Church Food Pantry,919-335-5171,Sunday 12-1:30pm,7000 Destiny Dr. Raleigh 27604,27604,Wake,Confirmed,35.8265288,-78.5323657,Food Distribution,Food Pantries,,,C1044,Sunday 12-1:30pm,"[
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Sunday,12,12:00–13:59
129,43,C1045,C1045FP,Clayton Area Ministries,919-553-5654,"Monday ,Friday 1-3pm",704 East Main St Clayton 27520,27520,Wake,Confirmed,35.6450118,-78.45185590000001,Food Distribution,Food Pantries,,,C1045,"Monday ,Friday 1-3pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,13,12:00–13:59
131,43,C1045,C1045FP,Clayton Area Ministries,919-553-5654,"Monday ,Friday 1-3pm",704 East Main St Clayton 27520,27520,Wake,Confirmed,35.6450118,-78.45185590000001,Food Distribution,Food Pantries,,,C1045,"Monday ,Friday 1-3pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,13,12:00–13:59
133,44,C1047,C1047FP,Corinth United Church of Christ,919-556-1810,2nd & 4th Friday 10am-1pm,7900 Zebulon Road HWY 96 Youngsville 27596,27596,JOHNSTON,Confirmed,35.9751386,-78.44132929999999,Food Distribution,Food Pantries,,,C1047,2nd & 4th Friday 10am-1pm,"[
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    }
]",Friday,10,10:00–11:59
136,45,C1048,C1048FP,"Operation Nahyelle, Inc.",919-285-2025,"1st and 3rd Saturdays of each month, 10am-12pm; 2nd and 4th Tuesdays and Thursdays, 3:30pm-5:30pm","800 S Main Street, Fuquay-Varina, NC 27526",27526,Wake,Confirmed,35.5744793,-78.8010398,Food Distribution,Food Pantries,Curbside Distribution,,C1048,"1st and 3rd Saturdays of each month, 10am-12pm; 2nd and 4th Tuesdays and Thursdays, 3:30pm-5:30pm","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""2""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""4""
        ]
    }
]",Saturday,10,10:00–11:59
138,45,C1048,C1048FP,"Operation Nahyelle, Inc.",919-285-2025,"1st and 3rd Saturdays of each month, 10am-12pm; 2nd and 4th Tuesdays and Thursdays, 3:30pm-5:30pm","800 S Main Street, Fuquay-Varina, NC 27526",27526,Wake,Confirmed,35.5744793,-78.8010398,Food Distribution,Food Pantries,Curbside Distribution,,C1048,"1st and 3rd Saturdays of each month, 10am-12pm; 2nd and 4th Tuesdays and Thursdays, 3:30pm-5:30pm","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""2""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""4""
        ]
    }
]",Tuesday,15,14:00–15:59
141,45,C1048,C1048FP,"Operation Nahyelle, Inc.",919-285-2025,"1st and 3rd Saturdays of each month, 10am-12pm; 2nd and 4th Tuesdays and Thursdays, 3:30pm-5:30pm","800 S Main Street, Fuquay-Varina, NC 27526",27526,Wake,Confirmed,35.5744793,-78.8010398,Food Distribution,Food Pantries,Curbside Distribution,,C1048,"1st and 3rd Saturdays of each month, 10am-12pm; 2nd and 4th Tuesdays and Thursdays, 3:30pm-5:30pm","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""2""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""4""
        ]
    }
]",Thursday,15,14:00–15:59
144,46,C1049,C1049FP,Hope Community Church Food Pantry,919-532-0620 x145,"Wednesdays, 12pm-6:30pm; HOLIDAY CHANGES: Closed November 23rd and December 28th","821 Buck Jones Rd, Raleigh, NC 27606",27606,Wake,Confirmed,35.7708027,-78.736847,Food Distribution,Food Pantries,"Once a month, ID required for all family members, indoor service",,C1049,"Wednesdays, 12pm-6:30pm; HOLIDAY CHANGES: Closed November 23rd and December 28th","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""06:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""unknown"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""unknown"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""unknown"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""unknown"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""unknown"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""unknown"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,12,12:00–13:59
151,47,C1050,C1050FP,Glory Cloud and Fire Food Ministry,919-269-5830,3rd Saturday of month 9-11am,"8800 Hwy 39 Zebulon, NC 27597",27597,Wake,Confirmed,35.8657446,-78.26768729999999,Food Distribution,Food Pantries,,,C1050,3rd Saturday of month 9-11am,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""3""
        ]
    }
]",Saturday,9,08:00–09:59
153,48,C1052,C1052FP,The Nest - Beltline Center Wake Technical Community College,919-532-5964,Monday: 12-2pm  Tuesday: 6-8pm  Thursday: 12-2pm,Beltline Education Center 3200 Bush Street Raleigh 27609,27609,Wake,Confirmed,35.8238941,-78.6136901,Food Distribution,Food Pantries,,,C1052,Monday: 12-2pm  Tuesday: 6-8pm  Thursday: 12-2pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""06:00 pm"",
        ""Closing_Hour"": ""08:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Monday,12,12:00–13:59
155,48,C1052,C1052FP,The Nest - Beltline Center Wake Technical Community College,919-532-5964,Monday: 12-2pm  Tuesday: 6-8pm  Thursday: 12-2pm,Beltline Education Center 3200 Bush Street Raleigh 27609,27609,Wake,Confirmed,35.8238941,-78.6136901,Food Distribution,Food Pantries,,,C1052,Monday: 12-2pm  Tuesday: 6-8pm  Thursday: 12-2pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""06:00 pm"",
        ""Closing_Hour"": ""08:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Tuesday,18,18:00–19:59
157,48,C1052,C1052FP,The Nest - Beltline Center Wake Technical Community College,919-532-5964,Monday: 12-2pm  Tuesday: 6-8pm  Thursday: 12-2pm,Beltline Education Center 3200 Bush Street Raleigh 27609,27609,Wake,Confirmed,35.8238941,-78.6136901,Food Distribution,Food Pantries,,,C1052,Monday: 12-2pm  Tuesday: 6-8pm  Thursday: 12-2pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""06:00 pm"",
        ""Closing_Hour"": ""08:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Thursday,12,12:00–13:59
159,49,C1053,C1053FP,The Nest - North Campus Wake Technical Community College,919-532-5964,Tuesday: 10am-12pm  Wednesday: 3-5pm  Thursday: 1-3pm,Northern Wake Campus  6600 Louisburg Rd Raleigh 27616,27616,Wake,Confirmed,35.8666235,-78.5445119,Food Distribution,Food Pantries,,,C1053,Tuesday: 10am-12pm  Wednesday: 3-5pm  Thursday: 1-3pm,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""03:00 pm"",
        ""Closing_Hour"": ""05:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,10,10:00–11:59
